TXG
SRCE
TWOU
QFIN
JOBS
EGHT
JFU
AAON
ABMD
ACIA
ACHC
ACAD
XLRN
ACIW
ATVI
ADPT
ADUS
ADBE
AEIS
AMD
AVAV
AFYA
AGIO
AGNC
AGNCB
AIMT
ATSG
AKAM
AKCA
ALRM
ALEC
ALXN
ALGN
ALKS
ALLK
ALGT
ARLP
LNT
ALLO
MDRX
ALNY
GOOG
GOOGL
ALTR
AIMC
AMRN
AMZN
AMBA
AMCX
DOX
AMED
UHAL
AMOV
AAL
AFIN
ANAT
AMWD
ABCB
AMSF
AMGN
FOLD
AMKR
ADI
ANAB
ANGI
ANSS
APLS
AINV
APPF
APPN
AAPL
AMAT
ACGL
ARCE
ARNA
ARCC
ARGX
ARQL
ARWR
ASND
ASML
AZPN
AUB
AY
TEAM
ATRC
ATRI
BOLD
ADSK
ADP
CAR
AVT
AAXN
BIDU
BCPC
BLDP
BANF
BAND
OZK
BANR
BZUN
GOLD
BECN
BBBY
BGNE
BYND
BGCP
BILI
BIIB
BMRN
TECH
BEAT
BLKB
BL
BLMN
BCOR
BLUE
BPMC
BMCH
BOKF
BKNG
EPAY
BBIO
BHF
AVGO
BPY
BPR
BRKL
BRKS
DOOO
BRKR
BLDR
CHRW
CCMP
CDNS
CZR
CSQ
CVGW
CALM
CSIQ
CFFN
CSII
CATM
CDNA
CECO
CTRE
CARG
CWST
CASY
CATY
CVCO
CBOE
CDK
CDW
CELG
CDEV
CSFL
CETV
CENT
CENTA
CERN
CHNG
GTLS
CHTR
CHKP
PLCE
CBPO
CHDN
CMPR
CINF
CTAS
CRUS
CSCO
CTXS
CHCO
CME
COKE
CCOI
CGNX
CTSH
COHR
CHRS
CIGI
COLB
CLBK
COLM
CMCSA
CBSH
CBSHP
COMM
CVLT
CNMD
CPRT
CORT
CORE
CSOD
CRVL
CSGP
COST
COUP
CBRL
CACC
TVIX
CREE
CRSP
CRTO
CROX
CRON
CRWD
CSGS
CSWI
CSX
CTRP
CVBF
CYBR
CY
CONE
DDOG
PLAY
DCPH
DNLI
DENN
XRAY
DXCM
FANG
DRNA
DIOD
DISCA
DISCB
DISCK
DISH
DOCU
DLTR
DORM
DOYU
DBX
DNKN
ETFC
SSP
EGBN
EWBC
EBAY
EBIX
SATS
EDIT
EHTH
EIDX
ESLT
ERI
EA
ENTA
ECPG
WIRE
ENPH
ESGR
