ABMD
ATVI
ADBE
AMD
AGNC
AIMT
AKAM
ALXN
ALGN
ALGT
LNT
GOOG
GOOGL
AMRN
AMZN
AAL
AMGN
ADI
ANSS
AAPL
AMAT
ACGL
ARCE
ARWR
ASML
TEAM
ADSK
ADP
AVT
BIDU
BZUN
GOLD
BBBY
BYND
BIIB
BMRN
BLUE
BKNG
BHF
AVGO
CHRW
CCMP
CDNS
CZR
CDW
CELG
CERN
CHTR
CHKP
CHDN
CINF
CTAS
CSCO
CTXS
CME
CGNX
CTSH
COLM
CMCSA
CPRT
CSGP
COST
COUP
CACC
TVIX
CREE
CRON
CRWD
CSX
CTRP
CYBR
CY
CONE
DDOG
XRAY
DXCM
FANG
DISCA
DISH
DOCU
DLTR
ETFC
EWBC
EBAY
EHTH
ERI
EA
ENPH
ENTG
EQIX
ERIC
ETSY
EEFT
EXAS
EXC
EXPE
FFIV
FB
FAST
FITB
FEYE
FSLR
FTSM
FISV
FIVE
FLEX
FTNT
FOX
FOXA
GLPG
GRMN
ROCK
GILD
GRFS
GWPH
HAS
HSIC
HOLX
HBAN
IAC
ICLR
IDXX
INFO
ILMN
INCY
PODD
INTC
ICPT
INTU
ISRG
QQQ
IONS
IQ
IRBT
SHY
TLT
IEI
IEF
EMB
MBB
ACWI
MCHI
IBB
SOXX
PFF
SHV
JBHT
JCOM
JKHY
JD
JBLU
KLAC
LRCX
LSTR
LBRDK
LBTYK
FWONK
LKQ
LOGM
LPLA
LK
LULU
LITE
LYFT
MANH
MKTX
MAR
MRVL
MTCH
MXIM
MDSO
MELI
MCHP
MU
MSFT
MRTX
MKSI
MOMO
MDLZ
MDB
MPWR
MNRO
MNST
MYL
NDAQ
NTAP
NTES
NFLX
NWL
NTRS
NCLH
NVCR
NTNX
NVDA
NXPI
OKTA
ODFL
OLLI
OMCL
ON
ORLY
PCAR
PAAS
PZZA
PEGI
PTEN
PAYX
PYPL
PTON
PBCT
PEP
PDD
POOL
BPOP
PFG
PFPT
TQQQ
SQQQ
PTC
QRVO
QCOM
RARX
RETA
REG
REGN
ROKU
ROST
RGLD
SABR
SAGE
SAIA
SAFM
SNY
SRPT
SBAC
STX
SGEN
SIRI
SWKS
SDC
SEDG
ONCE
SAVE
SPLK
SPSC
SSNC
STMP
SBUX
STLD
SFIX
STNE
SIVB
SYMC
SNPS
TROW
TTWO
TNDM
TCF
AMTD
TER
TSLA
TXN
TXRH
CAKE
GT
KHC
MDCO
REAL
TSG
TTD
TMUS
TSCO
TRMB
TRIP
ULTA
UAL
OLED
URBN
VCIT
VCSH
BND
BNDX
VXUS
VRSN
VRSK
VRTX
VIAB
VC
WBA
WB
WERN
WDC
WLTW
WDAY
WYNN
XEL
XLNX
YNDX
ZBRA
Z
ZION
ZM
ZS
ZNGA
LNG
MMM
AOS
AAN
ABT
ABBV
ACN
AAP
ADSW
ACM
AER
AMG
AFL
AGCO
A
AEM
APD
ALK
ALB
AA
ARE
BABA
ALLE
AGN
ADS
ALL
ALLY
AYX
ATUS
MO
ABEV
AMCR
AEE
AEO
AEP
AXP
AMH
AIG
AMT
AWK
AMP
APH
AME
PLAN
AU
BUD
NLY
AM
ANTM
AON
APA
APY
APHA
APO
APTV
WTR
ARMK
MT
ADM
ARNC
ANET
AWI
AJG
ASB
AZN
T
ATH
ATO
ACB
ATHM
ALV
AZO
AVLR
AVB
