119,0.1295
118.18,0.1297
118.57,0.1268
117.62,0.1285
118.24,0.1266
119.47,0.1269
118.22,0.1311
117.5,0.1349
116.78,0.1401
116.55,0.1391
116.88,0.1333
117.23,0.1279
117.43,0.1258
117.43,0.1238
118.16,0.1191
118.91,0.1124
119.27,0.1085
119.11,0.1139
120.23,0.1026
120.07,0.1042
120.21,0.1046
119.31,0.1077
119.74,0.1049
120.77,0.1027
120.68,0.1015
121.13,0.1022
121.21,0.0971
120.23,0.1012
120.39,0.0989
118.6,0.1106
119.45,0.1072
120.24,0.1006
121.43,0.1
120.63,0.1045
121.23,0.1059
121.17,0.1043
121.22,0.1102
122.73,0.108
122.79,0.1071
122.33,0.1076
120.97,0.1134
121.24,0.111
120.39,0.1157
121.14,0.116
120.14,0.1176
119.12,0.1202
119.36,0.1211
118.54,0.1223
118.1,0.1278
116.9,0.1337
117,0.1316
117.14,0.1279
117.31,0.1285
116.53,0.1345
118.18,0.1295
117.96,0.1287
117.43,0.1339
117.63,0.1351
118.19,0.1317
118.6,0.1293
119.24,0.121
118,0.1212
118.09,0.1253
118.7,0.1236
117.3,0.1312
115.77,0.1434
114.15,0.1601
114.5,0.1529
115.41,0.1544
113.8,0.1605
116.01,0.1358
115.57,0.1507
116.33,0.1395
115.2,0.1425
115.65,0.1389
114.2,0.1529
115.75,0.1455
116.4,0.1423
116.6,0.1393
117.5,0.1288
117.46,0.1289
117.09,0.1238
117.82,0.1225
116.6,0.1307
117.24,0.1306
115.95,0.1394
115.72,0.147
116.8,0.1368
117.58,0.1297
118.79,0.1176
119.29,0.1158
119.12,0.1131
119.78,0.112
119.5,0.1101
119.41,0.1108
120.05,0.1064
120.25,0.1076
119.48,0.1139
120.5,0.1029
120.76,0.1079
120.15,0.1116
120.04,0.1116
120.13,0.1113
119.91,0.1137
120.48,0.1133
120.2,0.1108
120.58,0.1087
120.86,0.1096
121.09,0.1076
121.4,0.1023
121.36,0.1075
121.4,0.1178
121.47,0.1067
121.57,0.1072
119.86,0.1147
118.98,0.1167
119.15,0.1221
120.15,0.1145
119.83,0.1145
119.18,0.1189
119.53,0.1142
120.49,0.1162
119.48,0.1194
119.95,0.1255
121.32,0.1142
121.94,0.1125
122.26,0.1167
122.43,0.114
122.91,0.115
122.84,0.1109
122.35,0.1141
123.02,0.1093
123.44,0.1085
122.72,0.1125
123.54,0.1128
123.19,0.1163
123.34,0.1141
123.79,0.1071
124.57,0.1078
123.74,0.1134
123.65,0.1201
124.39,0.1146
124.72,0.1157
123.72,0.1216
122.88,0.125
122.65,0.1206
123.39,0.1196
123.33,0.1234
123.82,0.1173
123.06,0.1187
123.82,0.1188
122.21,0.1247
122.2,0.1206
122.19,0.1237
122.47,0.1242
122.47,0.1188
122.24,0.1038
121.15,0.1208
121.59,0.1204
120.76,0.12
121.69,0.1191
121.05,0.1197
122.58,0.1159
122.49,0.1186
122.27,0.1159
123.7,0.1155
123.91,0.1032
123.5,0.1159
124.6,0.1124
124.35,0.1127
123.66,0.1216
123.21,0.1212
123.15,0.1165
123.5,0.117
123.09,0.1251
122.05,0.1287
120.91,0.1372
121.34,0.1318
121.44,0.1275
121.58,0.1312
121.55,0.1286
121.67,0.1275
122.66,0.1208
123.04,0.1237
122.6,0.1233
121.22,0.1312
119.63,0.1416
119.2,0.148
119.61,0.1432
118.6,0.1507
118.43,0.1517
117.5,0.15
117.43,0.1575
118.67,0.1442
119.11,0.1478
117.82,0.1511
119.78,0.1415
117.67,0.1534
118.13,0.1555
119.96,0.141
119.72,0.142
119.37,0.1441
